,,,,,Paper Information,,,,,,,,Population Information,,,,,,,,,,,,,Demographic Characteristics,,,,,,,Exposure history,,,,,,,,,,,Comorbidities,,,,,,,,,,,,Symptoms,,,,,,,,,,,,,,,,,,,,,,,Labs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatments,,,,,,,,,,,,,,,,,,Medical Outcomes,,,,,,,,,,,,,,Outcomes,,,,,,,,Outcomes (Imaging),,
91,,China,Zhejiang,577,"Epidemiological, clinical and virological characteristics of 74 cases of coronavirus-infected disease 2019 (COVID-19) with gastrointestinal symptoms",Gut,Jin et. al.,http://dx.doi.org/10.1136/,English,Without GI Symptoms,Ryan,,1/27/2020,2/8/2020,12,Subgroup,No GI Symptoms,Positive only,End-point and active,Both,Both,Yes,Both,All,Both,45.09,45.09,14.45,30.64,59.54,,50.95%,100.00%,60.14%,39.86%,,,,,,,,,6.59%,,26.52%,15.25%,7.11%,0.69%,,0.17%,1.04%,,1.04%,0.69%,,,,83.54%,,,66.20%,3.30%,,34.32%,,16.64%,,50%,50%,,,,,,8.14%,,,4.7,3.76,5.9,138,,128,151,1,40.5,66,1.2,0.9,1.6,177,,146,218,9.6,7,13.1,2.9,21.5,24.4,,7.9,,,,,,,,,,,,,,,,42.63%,83.19%,83.19%,,,,,,,,,,2.08%,0%,10.92%,0%,,,0.17%,2.08%,2.08%,2.08%,,0%,0.17%,8.84%,,,,,,,100%,2.08%,,,,,0.15%,,,,
92,,China,Hunan,10,Short-Term Moderate-Dose Corticosteroid Plus Immunoglobulin Effectively Reverses COVID-19 Patients Who Have Failed Low-Dose Therapy,preprints.org,Zhou et. al.,doi: 10.20944/preprints202003.0065.v1,English,"Two versions of paper, make sure to download v2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,0,China,Shenzhen,5,Treatment of 5 Critically Ill Patients With COVID-19 With Convalescent Plasma,JAMA,Shen et. al.,doi:10.1001/jama.2020.4783,English,"Contains patient level information, so please split into 5 rows",Ryan,,1/20/2020,3/25/2020,65,Top-level,All,Positive only,End-point and active,Both,Both,Yes,ICU only,Severe/Critical Only,Ventilation only,65,59,29.71880544,55,65,,60%,,,,6.6,7,3,7,2.6,2,2,3,0%,,20%,20%,0%,0%,,0%,0%,0%,0%,0%,,,,100%,37.552,38.5,,,,,,,,,,,,,,,100%,0%,100%,,,,,,,,1,,,,,,,,,,,,,,,,,160.06,147.9,,,,,,,,,,100%,,,,,,100%,80%,20%,,,,,,,,,100%,20%,,,,,,100%,,100%,,,,,,20%,,,,,100%,100%,60%,,53,,0.00%,0.00%,,,
93,1,China,Shenzhen,1,Treatment of 5 Critically Ill Patients With COVID-19 With Convalescent Plasma,JAMA,Shen et. al.,doi:10.1001/jama.2020.4783,English,"Contains patient level information, so please split into 5 rows",Ryan,,1/20/2020,3/25/2020,65,Subgroup,Patient 1,Positive only,Active only,Both,Non-discharged only,Yes,ICU only,Severe/Critical Only,Ventilation only,75,75,0,75,75,,100%,,,,1,1,1,1,2,2,2,2,0%,,0%,0%,0%,0%,,0%,0%,0%,0%,0%,,,,100%,38,38.6,,,,,,,,,,,,,,,100%,0%,100%,,,,,,,,1,,,,,,,,,,,,,,,,,163.4,70.5,,,,,,,,,,100%,,,,,,100%,100%,0%,,,,,,,,,100%,0%,,,,,,100%,,100%,,,,,,0%,,,,,100.00%,100%,0%,,,,0%,,,,
93,2,China,Shenzhen,1,Treatment of 5 Critically Ill Patients With COVID-19 With Convalescent Plasma,JAMA,Shen et. al.,doi:10.1001/jama.2020.4783,English,"Contains patient level information, so please split into 5 rows",Ryan,,1/21/2020,3/26/2020,65,Subgroup,Patient 2,Positive only,Active only,Both,Non-discharged only,Yes,ICU only,Severe/Critical Only,Ventilation only,65,65,0,65,65,,100.00%,,,,7,7,7,7,4,4,4,4,0%,,100%,100%,0%,100%,,0%,0%,0%,0%,0%,,,,100.00%,37.28,39,,,,,,,,,,,,,,,100%,0%,100%,,,,,,,,1,,,,,,,,,,,,,,,,,242.8,438.2,,,,,,,,,,100%,,,,,,100%,100%,0%,,,,,,,,,100%,100%,,,,,,100%,,100%,,,,,,100%,,,,,100.00%,100%,0%,,,,0%,,,,
93,3,China,Shenzhen,1,Treatment of 5 Critically Ill Patients With COVID-19 With Convalescent Plasma,JAMA,Shen et. al.,doi:10.1001/jama.2020.4783,English,"Contains patient level information, so please split into 5 rows",Ryan,,1/22/2020,3/27/2020,65,Subgroup,Patient 3,Positive only,End-point only,Both,Discharged only,Yes,ICU only,Severe/Critical Only,Ventilation only,55,55,0,55,55,,0.00%,,,,3,3,3,3,2,2,2,2,0%,,0%,0%,0%,0%,,0%,0%,0%,0%,0%,,,,100.00%,37.08,37.6,,,,,,,,,,,,,,,100%,0%,100%,,,,,,,,1,,,,,,,,,,,,,,,,,65,63.9,,,,,,,,,,100%,,,,,,100%,100%,0%,,,,,,,,,100%,0%,,,,,,100%,,100%,,,,,,0%,,,,,100.00%,100%,100%,,53,,0%,0%,,,
93,4,China,Shenzhen,1,Treatment of 5 Critically Ill Patients With COVID-19 With Convalescent Plasma,JAMA,Shen et. al.,doi:10.1001/jama.2020.4783,English,"Contains patient level information, so please split into 5 rows",Ryan,,1/23/2020,3/28/2020,65,Subgroup,Patient 4,Positive only,End-point only,Both,Discharged only,Yes,ICU only,Severe/Critical Only,Ventilation only,35,35,0,35,35,,0.00%,,,,7,7,7,7,2,2,2,2,0%,,0%,0%,0%,0%,,0%,0%,0%,0%,0%,,,,100.00%,37.5,38.3,,,,,,,,,,,,,,,100%,0%,100%,,,,,,,,1,,,,,,,,,,,,,,,,,156,79.1,,,,,,,,,,100%,,,,,,100%,0%,100%,,,,,,,,,100%,0%,,,,,,100%,,100%,,,,,,0%,,,,,100.00%,100%,100%,,51,,0%,0%,,,
93,5,China,Shenzhen,1,Treatment of 5 Critically Ill Patients With COVID-19 With Convalescent Plasma,JAMA,Shen et. al.,doi:10.1001/jama.2020.4783,English,"Contains patient level information, so please split into 5 rows",Ryan,,1/24/2020,3/29/2020,65,Subgroup,Patient 5,Positive only,End-point only,Both,Discharged only,Yes,ICU only,Severe/Critical Only,Ventilation only,65,65,0,65,65,,100.00%,,,,15,15,15,15,3,3,3,3,0%,,0%,0%,0%,0%,,0%,0%,0%,0%,0%,,,,100.00%,37.9,39,,,,,,,,,,,,,,,100%,0%,100%,,,,,,,,1,,,,,,,,,,,,,,,,,173.1,87.8,,,,,,,,,,100%,,,,,,100%,100%,0%,,,,,,,,,100%,0%,,,,,,100%,,100%,,,,,,0%,,,,,100.00%,100%,100%,,55,,0%,0%,,,
94,0,Netherlands,Nationwide,86,SARS-CoV-2 infection in 86 healthcare workers in two Dutch hospitals in March 2020,MedRxiv,Kluytmans et. al.,https://www.medrxiv.org/content/10.1101/2020.03.23.20041913v1,English,"also have stratified by observation period, but I don't think this falls into our current system",Holly,,2/27/2020,,,Top-level,All,Positive only,End-point and active,Survivors only,Both,No,Non-ICU only,All,NA,49,,,,,100%,17.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,53.50%,,,75.60%,38.40%,57%,,64%,,,18.60%,17.40%,17.40%,39.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.30%,,,,,8,0%,,,,
94,1,Netherlands,Nationwide,32,SARS-CoV-2 infection in 86 healthcare workers in two Dutch hospitals in March 2020,MedRxiv,Kluytmans et. al.,https://www.medrxiv.org/content/10.1101/2020.03.23.20041913v1,English,"also have stratified by observation period, but I don't think this falls into our current system",Holly,,2/27/2020,,,Top-level,All,Positive only,End-point and active,Survivors only,Both,No,Non-ICU only,All,NA,47,,,,,100%,18.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,62.50%,,,65.60%,18.80%,56.30%,,65.60%,,,15.60%,3.10%,3.10%,34.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,,,5,0%,,,,
94,2,Netherlands,Nationwide,54,SARS-CoV-2 infection in 86 healthcare workers in two Dutch hospitals in March 2020,MedRxiv,Kluytmans et. al.,https://www.medrxiv.org/content/10.1101/2020.03.23.20041913v1,English,"also have stratified by observation period, but I don't think this falls into our current system",Holly,,2/27/2020,,,Top-level,All,Positive only,End-point and active,Survivors only,Both,No,Non-ICU only,All,NA,49,,,,,100%,16.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,48.10%,,,81.50%,42.60%,57.40%,,81.50%,,,20.40%,25.90%,25.90%,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.70%,,,,,9,0.00%,,,,
95,0,China,Hangzhou,10,Patients of COVID-19 may benefit from sustained lopinavir-combined regimen and the increase of eosinophil may predict the outcome of COVID-19 progression,,Liu et. al.,https://doi.org/10.1016/j.ijid.2020.03.013,English,Contains patient level data,Agni,,1/22/2020,2/11/2020,20,Top-level,All,Positive only,End-point and active,Both,Both,Yes,Both,All,Non-ventilation only,42,,,34,50,,50%,100%,60%,40%,,5,3,7,,,,,,,,10%,0%,10%,,,0%,,10%,,10%,,0%,70%,,,80%,0%,30%,40%,,,10%,0%,30%,,40%,,,,,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50%,,100%,,,,,,50%,,90%,,,,30%,,,,,,20%,,,,,,,0%,0%,,,,100%,30%,70%,,13,,,,,,
96,0,China,Wuhan,183,Abnormal coagulation parameters are associated with poor prognosis in patients with novel coronavirus pneumonia.,J Thromb Haemost,Tang et. al.,https://www.ncbi.nlm.nih.gov/pubmed/32073213,English,coagulation feature of patients,Agni,,1/1/2020,2/3/2020,34,Top-level,All,Positive only,End-point only,Both,Both,No,ΝΑ,All,NA,,54.1,16.2,,,,53.55%,,,,,,,,,,,,,,41%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.48%,,,,
96,1,China,Wuhan,183,Abnormal coagulation parameters are associated with poor prognosis in patients with novel coronavirus pneumonia.,J Thromb Haemost,Tang et. al.,https://www.ncbi.nlm.nih.gov/pubmed/32073213,English,coagulation feature of patients,Agni,,1/1/2020,2/3/2020,34,Subgroup,Survivors,Positive only,End-point only,Survivors only,Discharged only,No,ΝΑ,All,NA,,52.4,15.6,,,,50.62%,,,,,,,,,,,,,,38.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,,
96,2,China,Wuhan,183,Abnormal coagulation parameters are associated with poor prognosis in patients with novel coronavirus pneumonia.,J Thromb Haemost,Tang et. al.,https://www.ncbi.nlm.nih.gov/pubmed/32073213,English,coagulation feature of patients,Agni,,1/1/2020,2/3/2020,34,Subgroup,Non-survivors,Positive only,End-point only,Non-Survivors only,Non-discharged only,No,ΝΑ,Severe/Critical Only,NA,,64,20.7,,,,76.19%,,,,,,,,,,,,,,57.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00%,,,,
97,0,United Kingdom,Nationwide,775,ICNARC report on COVID-19 in critical care,,,https://www.icnarc.org/DataServices/Attachments/Download/b5f59585-5870-ea11-9124-00505601089b,English,Can obtain multiple rows by netting outcomes on 27th against outcomes on previous day (e.g. see https://www.icnarc.org/About/Latest-News/2020/03/22/Report-On-196-Patients-Critically-Ill-With-Covid-19),Agni,,2/29/2020,3/26/2020,27,Top-level,All,Positive only,End-point and active,Both,Both,Yes,ICU only,Severe/Critical Only,Both,61,60.2,13.6,51,71,,70.50%,,,,,,,,,,,,,,,,,0.10%,,1.20%,4.70%,,2.70%,37.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.70%,,,,,,,,,,,,,,,,,,,,,100%,100%,11%,4,,,10%,48%,,,
97,0,United Kingdom,Nationwide,5338,ICNARC report on COVID-19 in critical care,,,https://www.icnarc.org/DataServices/Attachments/Download/b5f59585-5870-ea11-9124-00505601089b,English,Patients with viral pneumonia for non-COVID-19,Agni,,2017,3/26/2020,757,Top-level,Patients with viral pneumonia for non-COVID-19,Positive and Negative/Unconfirmed,End-point only,Both,Both,Yes,ICU only,Severe/Critical Only,Both,60,58,17.5,48,71,,54.30%,,,,,,,,,,,,,,,,,1.30%,,5.20%,14.60%,,3.00%,30.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.20%,,,,,,,,,,,,,,,,,,,,,100%,100%,72.20%,6,,,20.56%,22.16%,,,
97,1,United Kingdom,Nationwide,86,ICNARC report on COVID-19 in critical care,,,https://www.icnarc.org/DataServices/Attachments/Download/b5f59585-5870-ea11-9124-00505601089b,English,COVID-19 - discharged alive from critical care,Agni,,2/29/2020,3/26/2020,27,Subgroup,COVID-19 - discharged alive from critical care,Positive only,End-point only,Survivors only,Discharged only,Yes,ICU only,Severe/Critical Only,Both,60,,,50,69,,59.30%,,,,,,,,,,,,,,8.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.37%,,,,,,,,,,,,,,,,,,,,,100%,100%,,,,,0%,,,,
97,2,United Kingdom,Nationwide,79,ICNARC report on COVID-19 in critical care,,,https://www.icnarc.org/DataServices/Attachments/Download/b5f59585-5870-ea11-9124-00505601089b,English,COVID-19 - died in critical care,Agni,,2/29/2020,3/26/2020,27,Subgroup,COVID-19 - died in critical care,Positive only,End-point only,Non-Survivors only,Non-discharged only,Yes,ICU only,Severe/Critical Only,Both,70,,,65,80,,73.42%,,,,,,,,,,,,,,12.66%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.28%,,,,,,,,,,,,,,,,,,,,,100%,100%,,,,,100%,,,,
98,,China,Sichuan,81,"Critical Care for Patients with Severe Covid-19 in Sichuan Province, China——A Provincial Cohort Study",MedRxiv,Liao et. al.,https://www.medrxiv.org/content/10.1101/2020.03.22.20041277v2.full.pdf,English,Can split into subgroups,Agni,,1/16/2020,3/15/2020,59,Top-level,Total,Positive only,End-point only,Both,Both,Yes,ΝΑ,All,Both,50,,,39,65,,63%,76.50%,45.70%,,,,,,,,,,3.70%,,53.10%,18.50%,22.20%,6.20%,,13.60%,0%,,3.70%,42%,,,,48.20%,,,49.40%,30.90%,,,,37%,,,,,,,,,,,,6.2,4.5,7.8,,,,,,,,0.8,0.6,1.1,166,,136,217,11.7,6.9,18.4,5,,,,,,,,,,,,,,,,,,,6.20%,71.60%,,87.70%,,,,,,18.50%,63%,9.90%,16%,0%,0%,,6.20%,,,1.20%,21%,37.70%,,,,,,,,7.40%,,,,,,,,,,12%,,,,
98,,China,Sichuan,53,"Critical Care for Patients with Severe Covid-19 in Sichuan Province, China——A Provincial Cohort Study",MedRxiv,Liao et. al.,https://www.medrxiv.org/content/10.1101/2020.03.22.20041277v2.full.pdf,English,Can split into subgroups,Agni,,1/16/2020,3/15/2020,59,Subgroup,Rapid Recovery,Positive only,End-point only,Survivors only,Discharged only,Yes,ΝΑ,Mild only,Both,49,,,39,63,,64.10%,79.30%,49.10%,,,,,,,,,,1.90%,,43.40%,17%,15.10%,3.80%,,9.40%,0%,,1.90%,34%,,,,47.20%,,,54.70%,32.10%,,,,37.70%,,,,,,,,,65.43%,0%,0%,6.3,4.9,8.2,,,,,,,,0.8,0.6,1.1,178,,139,237,12.6,9,17.5,4.6,,,,,,,,,,,,,,,,,,,3.80%,73.60%,,88.70%,,,,,,18.90%,64.20%,9.40%,15.10%,0%,0%,,0%,,,0%,13.20%,37.70%,,,,,,,,5.70%,,,,,,,,,,0.00%,,,,
98,,China,Sichuan,10,"Critical Care for Patients with Severe Covid-19 in Sichuan Province, China——A Provincial Cohort Study",MedRxiv,Liao et. al.,https://www.medrxiv.org/content/10.1101/2020.03.22.20041277v2.full.pdf,English,Can split into subgroups,Agni,,1/16/2020,3/15/2020,59,Subgroup,No Recovery,Positive only,End-point only,Non-Survivors only,Non-discharged only,Yes,ΝΑ,Severe/Critical Only,Both,76,,,64,80,,40%,60%,30%,,,,,,,,,,10%,,100%,40%,30%,30%,,30%,0%,,20%,90%,,,,50%,,,30%,30%,,,,20%,,,,,,,,,0%,0%,12.35%,6.7,4.9,7.4,,,,,,,,0.4,0.3,1.1,124,,111,147,7.9,3.5,19.5,5.4,,,,,,,,,,,,,,,,,,,30%,80%,,60%,,,,,,20%,70%,0%,20%,0%,0%,,50%,,,10%,50%,40%,,,,,,,,30%,,,,,,,,,,100.00%,,,,
98,,China,Sichuan,18,"Critical Care for Patients with Severe Covid-19 in Sichuan Province, China——A Provincial Cohort Study",MedRxiv,Liao et. al.,https://www.medrxiv.org/content/10.1101/2020.03.22.20041277v2.full.pdf,English,Can split into subgroups,Agni,,1/16/2020,3/15/2020,59,Subgroup,Pronged Recovery,Positive only,End-point only,Survivors only,Discharged only,Yes,ΝΑ,Severe/Critical Only,Both,48,,,37,60,,72.20%,77.80%,44.40%,,,,,,,,,,5.60%,,55.60%,11.10%,38.90%,0%,,16.70%,0%,,0%,38.90%,,,,50%,,,61.10%,27.80%,,,,44.40%,,,,,,,,,0%,22.22%,0%,5.9,3.9,9.5,,,,,,,,0.8,0.6,1.1,169.5,,150,202,10.8,6.2,19.7,4.2,,,,,,,,,,,,,,,,,,,0%,61.10%,,100%,,,,,,16.70%,55.60%,16.70%,16.70%,0%,0%,,0%,,,0%,27.80%,33.30%,,,,,,,,0%,,,,,,,,,,0.00%,,,,
99,0,China,Shenzhen,391,"Epidemiology and Transmission of COVID-19 in Shenzhen China: Analysis of 391 cases and 1,286 of their close contacts",MedRxiv,Bi et. al.,https://www.medrxiv.org/content/10.1101/2020.03.03.20028423v3.full.pdf,English,Total,Agni,,1/14/2020,2/12/2020,27,Top-level,Total,Positive only,End-point only,Both,Both,No,ΝΑ,All,NA,49,,,,,,47.80%,96.93%,0%,22.25%,,,,,,,,,,,,,,,,,,,,,,,,84.40%,,,39.10%,3.10%,16.10%,,19.40%,13.60%,,0.80%,1%,,6.60%,5.60%,3.30%,6.40%,84.70%,9%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.54%,,,,0.77%,1.32%,,,
99,1,China,Shenzhen,87,"Epidemiology and Transmission of COVID-19 in Shenzhen China: Analysis of 391 cases and 1,286 of their close contacts",MedRxiv,Bi et. al.,https://www.medrxiv.org/content/10.1101/2020.03.03.20028423v3.full.pdf,English,Contact based,Agni,,1/14/2020,2/12/2020,27,Subgroup,Contact based,Positive only,End-point only,Both,Both,No,ΝΑ,All,NA,39,,,,,,27.60%,100%,0%,100%,,,,,3.2,,,,,,,,,,,,,,,,,,,71.30%,,,23%,8.30%,11.50%,,6.90%,8%,,1.10%,0%,,4.60%,2.30%,2.30%,19.50%,77.10%,3.40%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,2,China,Shenzhen,292,"Epidemiology and Transmission of COVID-19 in Shenzhen China: Analysis of 391 cases and 1,286 of their close contacts",MedRxiv,Bi et. al.,https://www.medrxiv.org/content/10.1101/2020.03.03.20028423v3.full.pdf,English,Symptom based,Agni,,1/14/2020,2/12/2020,27,Subgroup,Symptom based,Positive only,End-point only,Both,Both,No,ΝΑ,All,NA,45,,,,,,55.10%,100%,0%,0%,,,,,5.5,,,,,,,,,,,,,,,,,,,88.40%,,,43.50%,3.80%,17.50%,,23.60%,15.40%,,0.70%,1%,,6.50%,6.80%,3.80%,2.70%,87.00%,10.30%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,3,China,Shenzhen,12,"Epidemiology and Transmission of COVID-19 in Shenzhen China: Analysis of 391 cases and 1,286 of their close contacts",MedRxiv,Bi et. al.,https://www.medrxiv.org/content/10.1101/2020.03.03.20028423v3.full.pdf,English,Uknown,Agni,,1/14/2020,2/12/2020,27,Subgroup,Uknown,Positive only,End-point only,Both,Both,No,ΝΑ,All,NA,59,,,,,,16.70%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,83.30%,,,50%,0%,16.70%,,8.30%,8.30%,,0%,0%,,25%,0%,0%,0%,83.40%,16.70%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,0,China,Wuhan,120,Factors associated with prolonged viral shedding and impact of Lopinavir/Ritonavir treatment in patients with SARS-CoV-2 infection,MedRxiv,Yan et. al.,https://www.medrxiv.org/content/10.1101/2020.03.22.20040832v1.full.pdf,English,,Ryan,,1/31/2020,3/9/2020,38,Top-level,All,Positive only,End-point only,Survivors only,Discharged only,Yes,Non-ICU only,All,Both,52,,,35,63,,45%,,,,,,,,,,,,10%,,,26.70%,8.30%,5.80%,,1.60%,5.80%,,0.80%,2.50%,,,,,,,,,,,,,,,,,,,,0%,25.87%,25.03%,0.84%,5.65,4.14,7.33,,,,,,,61,1.14,0.81,1.55,195,,144,269,,,,,,31,,,,,,,,,,,,24.30%,,27.70%,,,,85%,,65%,0%,,,,45%,0%,,17.50%,1.70%,0.80%,0%,0%,0%,,,,,,,,,,,,,,,,,100%,0%,100%,,21,23,0%,0%,,,
100,1,China,Wuhan,78,Factors associated with prolonged viral shedding and impact of Lopinavir/Ritonavir treatment in patients with SARS-CoV-2 infection,MedRxiv,Yan et. al.,https://www.medrxiv.org/content/10.1101/2020.03.22.20040832v1.full.pdf,English,LPV/r group,Ryan,,1/31/2020,3/9/2020,38,Subgroup,LPV/r group,Positive only,End-point only,Survivors only,Discharged only,Yes,Non-ICU only,All,Both,50,,,34,61,,44.90%,,,,,,,,,,,,10.30%,,,24.40%,10.30%,6.40%,,1.30%,5.10%,,1.30%,2.60%,,,,,,,,,,,,,,,,,,,,0%,32.10%,32.10%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.60%,,26.90%,,,,93.60%,,100%,0%,,,,56.40%,0%,,21.80%,1.30%,1.30%,0%,0%,0%,,,,,,,,,,,,,,,,,100%,0%,100%,,23,22,0%,0%,,,
100,2,China,Wuhan,42,Factors associated with prolonged viral shedding and impact of Lopinavir/Ritonavir treatment in patients with SARS-CoV-2 infection,MedRxiv,Yan et. al.,https://www.medrxiv.org/content/10.1101/2020.03.22.20040832v1.full.pdf,English,No LPV/r group,Ryan,,1/31/2020,3/9/2020,38,Subgroup,No LPV/r group,Positive only,End-point only,Survivors only,Discharged only,Yes,Non-ICU only,All,Both,57,,,36.5,66,,45.20%,,,,,,,,,,,,9.50%,,,31%,4.80%,4.80%,,2.40%,7.10%,,0%,2.40%,,,,,,,,,,,,,,,,,,,,0%,14.30%,11.90%,2.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.50%,,28.60%,,,,71.40%,,0%,0%,,,,23.80%,0%,,9.50%,2.40%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,100%,0%,100%,,18.5,28.5,0.00%,0.00%,,,
101,0,France,Marseille,80,Clinical and microbiological effect of a combination of hydroxychloroquine and azithromycin in 80 COVID-19 patients with at least a six-day follow up: an observational study,MedRxiv,Gautret et. al.,https://www.mediterranee-infection.com/wp-content/uploads/2020/03/COVID-IHU-2-1.pdf,English,,Ryan,,3/3/2020,3/21/2020,18,Top-level,All,Positive only,End-point and active,Both,Both,Yes,Both,All,Both,52.5,52.5,,42,62,,52.50%,,,,,,,,4.8,4.8,0,10.4,,,,16.30%,11.20%,7.50%,,10%,6.30%,,,7.50%,,,,15%,38.6,38.8,58.80%,,,,,,,,,,16.30%,,,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.50%,100%,0%,0%,,,,,,,15%,,,,,,,,,,,,,,,,,,,,,,100%,3.80%,81.20%,,4,,1.20%,1.46%,,,
102,0,China,Wuhan,236,Favipiravir versus Arbidol for COVID-19: A Randomized Clinical Trial,MedRxiv,Chen et. al.,https://www.medrxiv.org/content/10.1101/2020.03.17.20037432v2.full.pdf,English,,Ryan,,2/20/2020,3/12/2020,21,Top-level,All,Positive only,End-point only,Both,Discharged only,Yes,Both,All,Both,51.52542373,51.52542373,,,,,46.61%,,,,,,,,,,,,,,,27.96%,11.44%,,,,,,,24.57%,,,,52.96%,,,56.78%,5.51%,,,2.12%,28.39%,,15.68%,,,11.02%,,,0%,11.44%,11.44%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.99%,100%,0%,49.15%,,,,0%,0%,0%,0%,,,0%,6.35%,0%,,,,2.09%,2.09%,,,,,,,,,,,,100%,,2.11%,,,,0%,0%,,,
102,1,China,Wuhan,116,Favipiravir versus Arbidol for COVID-19: A Randomized Clinical Trial,MedRxiv,Chen et. al.,https://www.medrxiv.org/content/10.1101/2020.03.17.20037432v2.full.pdf,English,Favipiravir group,Ryan,,2/20/2020,3/12/2020,21,Subgroup,Favipiravir group,Positive only,End-point only,Both,Discharged only,Yes,Both,All,Both,50,50,,,,,50.86%,,,,,,,,,,,,,,,31.03%,12.07%,,,,,,,18.96%,,,,55.17%,,,60.34%,7.76%,,,1.72%,34.48%,,18.97%,,,7.76%,,,0%,15.52%,15.52%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.33%,100%,0%,100%,,,,0%,0%,0%,0%,,,0%,4.30%,0%,,,,0.80%,0.80%,,,,,,,,,,,,100%,,0%,,,,0.00%,0.00%,,,
102,2,China,Wuhan,120,Favipiravir versus Arbidol for COVID-19: A Randomized Clinical Trial,MedRxiv,Chen et. al.,https://www.medrxiv.org/content/10.1101/2020.03.17.20037432v2.full.pdf,English,Arbidol group,Ryan,,2/20/2020,3/12/2020,21,Subgroup,Arbidol group,Positive only,End-point only,Both,Discharged only,Yes,Both,All,Both,53,53,,,,,42.50%,,,,,,,,,,,,,,,25.00%,10.83%,,,,,,,30.00%,,,,50.83%,,,53.33%,3.33%,,,2.50%,22.50%,,12.50%,,,14.17%,,,0%,7.50%,7.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.80%,100%,0%,0%,,,,0%,0%,0%,0%,,,0%,8.33%,0%,,,,3.33%,3.33%,,,,,,,,,,,,100.00%,,5%,,,,0%,0%,,,
