ID,SUB_ID,Country,Province/State,Pop Size (N),Title,Journal,Author,Source,Language,Notes,Person Responsible,Data Request (contact person),Study start date (mm/dd/yyyy),Study end date (mm/dd/yyyy),Study length (days),Is top-level row?,Subgroup,Positive/negative cases,End-point vs Active,Survivors,Discharged,Contains Any Treatment?,ICU vs. non-ICU,Severity,Ventilation,Median Age,Mean Age,Age 95% CI Halfwidth,Age Lower Quartile,Age Higher Quartile,% Healthcare Worker,% Male,Exposure history (%),Exposure - Wuhan Travel (%),Exposure - Personal Contact (%),Incubation period (days) - Mean,Incubation period (days) - Median,Incubation period (days) - Lower Quartile,Incubation period (days) -  Higher Quartile,Time From Ill (days) - Mean,Time From Ill (days) - Median,Time from Ill (days) - Lower Quartile,Time from Ill (days) - Upper Quartile,Current smoker,Current drinker,Any Comorbidity,Hypertension,Diabetes,Coronary heart disease,Chronic obstructive lung,Cancer (Any),Carcinoma,Chronic kidney/renal disease,Other,Respiratory rate > 24 breaths per min,Pulse >=125 beats per min,Systolic blood pressure <90mm Hg,Fever (temperature ≥37·3°C),Average temperature (celsius),Max temperature (celsius),Cough,Shortness of Breath (dyspnoea),Headache,Sputum,Myalgia (Muscle Pain),Fatigue,Upper air-way congestion,Diarrhoea,Nausea or vomiting,Loss of Appetite,Sore Throat/Stuffy Nose,Chills,Disease Severity Asymptomatic,Disease Severity General,Disease Severity Severe,Disease Severity Critical,Peripheral white cell count - Median,Peripheral white cell count - Lower Quartile,Peripheral white cell count - Upper Quartile,Hemoglobin (g/L) - Median,Hemoglobin (g/L) - Lower Quartile,Hemoglobin (g/L) - Upper Quartile,"Imaging Findings Available? (yes=1, no=0)",Hematocrit,CRE (μmol/L),Lymphocyte count - Median,Lymphocyte count - Lower Quartile,Lymphocyte count - Upper Quartile,Platelet count - Median,Platelet count - Lower Quartile,Platelet count - Upper Quartile,Serum bilirubin - Median,Serum bilirubin - Lower quartile,Serum bilirubin - Upper quartile,Neutrophils,ALT (U/L),AST (U/L),GGT (U/L),CRP (mg/DL),IL-6 (ng/L),T Lymphocyte,CD4+ T Lymphocyte (Count),CD8+ T Lymphocyte (Count),Antibiotic,Antiviral,Uses lopinavir-ritonavir,Uses Favipiravir,Corticosteroid,Intravenous immunoglobin,Nasal cannula,High-flow nasal cannula oxygen therapy,Noninvasive mechanical ventilation,Invasive mechanical ventilation,ECMO,Glucocorticoid,Renal replacement therapy,Sepsis,Respiratory failure or ARDS,Respiratory failure,ARDS,Heart failure,Septic shock,Liver dysfunction,Coagulopathy,Acute cardiac injury,Acute kidney injury (AKI),Secondary infection,Hypoproteinaemia,Acidosis,Hospital admission,ICU admission,Discharged (%),"ICU length of stay, days","Hospital length of stay, days",Days to Viral Clearance (Median),Mortality,Chest CT Improve,Chest CT Same,Chest CT Decline
41,0,China,Xiaogan,114,Imaging manifestations and diagnostic value of chest CT of coronavirus disease 2019 (COVID-19) in the Xiaogan area,COVID-19) in the Xiaogan area,Wang et al.,https://www.sciencedirect.com/science/article/pii/S000992602030088X,English,include CT findings but not outcomes/treatment received,Agni,Irra,1/25/20,2/9/20,15,Top-level,All,Positive only,Active only,Both,Both,No,ΝΑ,Mild only,NA,53,,,23,78,,50.90%,78.90%,,,,,,,,,,,,,52.60%,28.90%,13.20%,6.10%,4.40%,0.90%,,,5.30%,,,,93.90%,,38.6,79.80%,23.70%,,7.90%,,,,2.70%,,,5.30%,,,100.00%,0.00%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,,,,,,,
42,0,China,Shandong,537,山东省新型冠状病毒肺炎患者 537 例临床特征与救治效果,山东大学学报(医学版),周生余，王春亭，张伟，王锡明，董亮,,Chinese,,Yuchen,Irra,1/19/20,2/15/20,27,Top-level,,Positive only,End-point and active,,,,,,,,,,,,,55.70%,,,,,,,,,,,,,,,,,,,,,,,,,,87.90%,,,35.90%,,,,,8.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40%,,,
42,1,China,Shandong,,山东省新型冠状病毒肺炎患者 537 例临床特征与救治效果,山东大学学报(医学版),周生余，王春亭，张伟，王锡明，董亮,,Chinese,,,,,,,Subgroup,Common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2,China,Shandong,,山东省新型冠状病毒肺炎患者 537 例临床特征与救治效果,山东大学学报(医学版),周生余，王春亭，张伟，王锡明，董亮,,Chinese,,,,,,,Subgroup,Severe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0,China,Hubei,49,湖北省十堰市新型冠状病毒肺炎 49 例临床分析,第三军医大学学报,赵琴，雷旭，刘龙，占国清，李儒贵，李金科，李芳，杜卫星，李健，杨靖， 谭华炳,DOI：10.16016/j.1000-5404.202002107,Chinese,,Yuchen,Irra,1/23/20,2/9/20,17,Top-level,,Positive only,,,,,,,,48,,,,,,51.02%,,91.80%,,,,,,,,,,,,36.73%,,,,,,,,,,,,87.76%,,,65.31%,12.24%,24.49%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,China,,463,普通型和重型新型冠状病毒肺炎康复患者463例临床特征分析,上海医学,程克斌，魏明，沈虹，吴超民，陈德昌，熊维宁，周新，张定宇，郑军华,,Chinese,,Yuchen,Irra,1/1/20,2/6/20,36,Top-level,survival,Positive only,Active only,Survivors only,,Yes,ICU only,All,,51,,,,,,52.70%,,,,,12,9,14,,,,,,,44.28%,23.10%,8.64%,6.05%,,,,,,,,,89.63%,38.5,40.5,77.06%,41.90%,13.17%,31.53%,,28.08%,,,,,,,,,,,5.44,4.09,7.52,126,114,126,,,,1.07,0.76,1.46,212,155,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,0.00%,,,
44,1,China,,,普通型和重型新型冠状病毒肺炎康复患者463例临床特征分析,上海医学,程克斌，魏明，沈虹，吴超民，陈德昌，熊维宁，周新，张定宇，郑军华,,Chinese,,,,,,,Subgroup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2,China,,,普通型和重型新型冠状病毒肺炎康复患者463例临床特征分析,上海医学,程克斌，魏明，沈虹，吴超民，陈德昌，熊维宁，周新，张定宇，郑军华,,Chinese,,,,,,,Subgroup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0,China,,76,76例新型冠状病毒肺炎患者的临床及CT影像特征分析,中医杂志,陈甜，蒋宗焰，许炜，张清,,Chinese,,Yuchen,Irra,,,0,Subgroup,,Positive only,End-point and active,,,Yes,ICU only,All,,62,,,,,,55.30%,,,,,,,,,,,,,,,,,,,,,,,,,,75%,,,67.11%,18.42%,,,,38.16%,,,,,6.58%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.94%,,,
46,0,China,Henan,524,河南省524例新型冠状病毒肺炎患者临床特征及中医证候分布,中医杂志,李建生，李素云，谢洋，赵虎雷，冯贞贞，春柳，王佳佳，孙博倩,,Chinese,,Yuchen,Irra,2/1/20,2/20/20,19,Top-level,,Positive only,,,,Yes,,All,,45,,,33,55,,58.00%,,54.80%,62.20%,,10,6,15,,,,,,,,,,,,,,,,,,,47.30%,,,12.79%,26.34%,5.53%,11.07%,5.15%,31.30%,,2.67%,4.20%,,16.79%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1,China,Henan,,河南省524例新型冠状病毒肺炎患者临床特征及中医证候分布,中医杂志,李建生，李素云，谢洋，赵虎雷，冯贞贞，春柳，王佳佳，孙博倩,,Chinese,,,Irra,2/2/20,2/21/20,19,Subgroup,Common,Positive only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2,China,Henan,,河南省524例新型冠状病毒肺炎患者临床特征及中医证候分布,中医杂志,李建生，李素云，谢洋，赵虎雷，冯贞贞，春柳，王佳佳，孙博倩,,Chinese,,,Irra,2/3/20,2/22/20,19,Subgroup,Severe,Positive only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,3,China,Henan,,河南省524例新型冠状病毒肺炎患者临床特征及中医证候分布,中医杂志,李建生，李素云，谢洋，赵虎雷，冯贞贞，春柳，王佳佳，孙博倩,,Chinese,,,Irra,2/4/20,2/23/20,19,Subgroup,Critical,Positive only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0,China,Chongqing,223,重庆市223例新型冠状病毒肺炎患者的临床特征分析,西南大学学报(自然科学版),袁婧，孙艳雨，左玉洁，陈婷颖，曹齐，袁国丹，杨梅，张维，彭安周，陈 耀凯,,Chinese,,Irra,,1/24/20,2/23/20,30,Top-level,All,Positive only,End-point and active,Both,Both,Yes,ΝΑ,All,Both,,46.5,,30.4,62.6,,47.10%,,28.70%,34.10%,,,,,5,,,,15.70%,,24.20%,11.20%,8.10%,0.40%,0.40%,,,,4%,3.10%,,,53.40%,,,50.70%,6.70%,4.90%,12.10%,5.40%,5.40%,,5.40%,,,,,,,,,,,,135.1,,,,,69.4,1.5,,,199.8,,,18.8,,,,20,30,,,,1.5,,,,100%,,,,,58.30%,,5.40%,1.30%,,7.60%,,,,,,,,,,,,,,,,,50.20%,,14,11.9,0.00%,,,
47,1,China,Chongqing,223,重庆市223例新型冠状病毒肺炎患者的临床特征分析,西南大学学报(自然科学版),袁婧，孙艳雨，左玉洁，陈婷颖，曹齐，袁国丹，杨梅，张维，彭安周，陈 耀凯,,Chinese,,Irra,,1/24/20,2/23/20,30,Subgroup,Common,Positive only,End-point and active,Both,Both,Yes,ΝΑ,Mild only,Both,,44.9,,28.9,60.9,,45.30%,,27.60%,37.50%,,,,,4,,,,15.60%,,20.80%,10.90%,5.20%,0.50%,0.50%,,,,3.60%,1.00%,,,47.90%,,,49.50%,0,5.20%,10.40%,5.20%,5.20%,,6.30%,,,,,,,,,,,,135.9,,,,,69.5,1.5,,,197.8,,,19.2,,,,20,26,,,,1.5,,,,100%,,,,,63.50%,,0,0,,9%,,,,,,,,,,,,,,,,,52.60%,,13.8,11.7,0.00%,,,
47,2,China,Chongqing,223,重庆市223例新型冠状病毒肺炎患者的临床特征分析,西南大学学报(自然科学版),袁婧，孙艳雨，左玉洁，陈婷颖，曹齐，袁国丹，杨梅，张维，彭安周，陈 耀凯,,Chinese,,Irra,,1/24/20,2/23/20,30,Subgroup,Severe,Positive only,End-point and active,Both,Both,Yes,ΝΑ,Severe/Critical Only,Both,,56.4,,44,68.8,,58.10%,,35.50%,12.90%,,,,,6,,,,16.10%,,45.20%,12.90%,25.80%,0,0,,,,6.50%,16.10%,,,87.10%,,,58.10%,48.40%,3.20%,22.60%,6.50%,6.50%,,0,,,,,,,,,,,,130.1,,,,,68.2,1,,,211.8,,,17.5,,,,34,60,,,,1,,,,100%,,,,,25.80%,,38.70%,9.70%,,54.80%,,,,,,,,,,,,,,,,,35.50%,,16.4,13.9,0.00%,,,
48,0,China,Jiangxi,49,江西地区 49 例新型冠状病毒肺炎患者临床特征分析,中国呼吸与危重监护杂志,向天新，刘家明，许飞，程娜，刘洋，钱克俭，张伟,,Chinese,,Zhen,Irra,1/21/20,1/27/20,6,Top-level,All,Positive only,,,,,,All,,,42.9,,,,,67.32%,93.89%,,,4.7,,,,6.7,,,,6.12%,,28.60%,12.20%,4.10%,,,,,,12.20%,,,,78.70%,37.1,39.1,38.80%,,12.20%,,,18.40%,,4.10%,,,14.90%,16.30%,,81.63%,,,5.52,,,,,,,,,,,,,,,,,,3.84,22.7,27.4,,27.77,,,312.16,174.74,,15.38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1,China,Jiangxi,40,江西地区 49 例新型冠状病毒肺炎患者临床特征分析,中国呼吸与危重监护杂志,向天新，刘家明，许飞，程娜，刘洋，钱克俭，张伟,,Chinese,,Zhen,Irra,1/21/20,1/27/20,6,Subgroup,Common,Positive only,,,,,,Mild only,,,40.6,,,,,62.50%,97.50%,,,4.7,,,,,,,,7.50%,,,5.00%,0,,,,,,15%,,,,80.00%,37.2,,32.50%,,10.00%,7.50%,,15.00%,,5.00%,,,17.50%,12.50%,,,,,4.61,,,,,,,,,,,,,,,,,,2.96,20.7,25.1,,16.05,,,352.75,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2,China,Jiangxi,9,江西地区 49 例新型冠状病毒肺炎患者临床特征分析,中国呼吸与危重监护杂志,向天新，刘家明，许飞，程娜，刘洋，钱克俭，张伟,,Chinese,,Zhen,Irra,1/21/20,1/27/20,6,Subgroup,Severe/Critical,Positive only,,,,,,Severe/Critical Only,,,53,,,,,88.90%,77.78%,,,4.5,,,,,,,,0,,,44.44%,22.22%,,,,,,,,,,66.67%,36.9,,66.67%,,22.22%,44.44%,,33.33%,,0,,,0,33.33%,,,,,9.56,,,,,,,,,,,,,,,,,,7.76,32,38.1,,79.86,,,221.32,145.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,China,Hubei,41,江西地区 49 例新型冠状病毒肺炎患者临床特征分析,中国呼吸与危重监护杂志,向天新，刘家明，许飞，程娜，刘洋，钱克俭，张伟,,Chinese,,Zhen,Irra,,1/24/20,43854,,reference data from another paper,Positive only,,,,,Both,All,,49,,,,,,73.00%,,,,,,,,,,,,,,32.00%,,,,,,,,,,,,98.00%,,,76.00%,,,,44%,44%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,China,Hubei,99,江西地区 49 例新型冠状病毒肺炎患者临床特征分析,中国呼吸与危重监护杂志,向天新，刘家明，许飞，程娜，刘洋，钱克俭，张伟,,Chinese,,Zhen,Irra,,1/30/20,43860,,reference data from another paper,Positive only,,,,,,,,,55.5,,,,,,,,,,,,,,,,,,,51.00%,,,,,,,,,,,,83.00%,,,82.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,China,Hubei,138,江西地区 49 例新型冠状病毒肺炎患者临床特征分析,中国呼吸与危重监护杂志,向天新，刘家明，许飞，程娜，刘洋，钱克俭，张伟,,Chinese,,Zhen,Irra,,,0,,reference data from another paper,Positive only,,,,,Both,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.60%,,,59.40%,,,,,69.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.10%,,,,,,,,
49,0,China,,26,26例新型冠状病毒肺炎确诊病例临床和流行病学特征,中华医院感染学杂志,"庄英杰,陈竹,李进,杨兴龙,李靖,袁月,管群,贾红军,马婧怡,吴丹,马洪滨,汤紫荣",,Chinese,,Zhen,Irra,2020/01/??,before 02/12/2020,#VALUE!,Top-level,,Positive only,,,,,,,,,39.77,,,,,76.50%,,53.85%,46.15%,,,,,,,,,,,42.30%,15.38%,11.54%,,,,,,15.38%,,,,76.92%,,,30.77%,,23.08%,11.54%,26.92%,53.85%,,11.54%,,,15.38%,11.54%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0,China,,308,308 例新型冠状病毒肺炎病例回顾性分析及抗疫强身功运动处方的临床应用 方案,上海中医药杂志,方磊，朱清广，程伟，占超，方晓明，郭超阳，李振瑞，姚斐，房敏,10.16305/j.1007-1334.2020.05.095,Chinese,,Irra,Irra,1/25/20,2/20/20,26,Top-level,,Positive only,End-point and active,Both,Both,Yes,ΝΑ,All,,,52.95324675,,38.73733766,,,47.81%,,,,,,,,,,,,,,,,,,,,,,,,,,82.00%,,,95.00%,,,,,67.90%,,10.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.21626328,,5.19%,,,
50,1,China,,34,308 例新型冠状病毒肺炎病例回顾性分析及抗疫强身功运动处方的临床应用 方案,上海中医药杂志,方磊，朱清广，程伟，占超，方晓明，郭超阳，李振瑞，姚斐，房敏,10.16305/j.1007-1334.2020.05.095,Chinese,,Irra,Irra,1/25/20,2/20/20,26,Subgroup,,Positive only,End-point and active,Both,Both,Yes,ΝΑ,Severe/Critical Only,,,65.1,,51.8,78.4,,54.54%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.40909091,,36.36%,,,
50,2,China,,87,308 例新型冠状病毒肺炎病例回顾性分析及抗疫强身功运动处方的临床应用 方案,上海中医药杂志,方磊，朱清广，程伟，占超，方晓明，郭超阳，李振瑞，姚斐，房敏,10.16305/j.1007-1334.2020.05.095,Chinese,,Irra,Irra,1/25/20,2/20/20,26,Subgroup,,Positive only,End-point and active,Both,Both,Yes,ΝΑ,Severe/Critical Only,,,58.4,,43.1,73.7,,54.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.43103448,,4.60%,,,
50,3,China,,98,308 例新型冠状病毒肺炎病例回顾性分析及抗疫强身功运动处方的临床应用 方案,上海中医药杂志,方磊，朱清广，程伟，占超，方晓明，郭超阳，李振瑞，姚斐，房敏,10.16305/j.1007-1334.2020.05.095,Chinese,,Irra,Irra,1/25/20,2/20/20,26,Subgroup,,Positive only,End-point and active,Both,Both,Yes,ΝΑ,Mild only,,,45.8,,31.9,59.7,,43.88%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4,,0.00%,,,
50,4,China,,90,308 例新型冠状病毒肺炎病例回顾性分析及抗疫强身功运动处方的临床应用 方案,上海中医药杂志,方磊，朱清广，程伟，占超，方晓明，郭超阳，李振瑞，姚斐，房敏,10.16305/j.1007-1334.2020.05.095,Chinese,,Irra,Irra,1/25/20,2/20/20,26,Subgroup,,Positive only,End-point and active,Both,Both,Yes,ΝΑ,Mild only,,,50.3,,36.6,64,,43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.7,,0.00%,,,
51,0,China,Hunan,697,湖南省 697 例新型冠状病毒肺炎确诊病例就诊及诊断分析,实用预防医学,刘子言，高立冬，胡世雄，罗垲炜，肖洁华，赵善露，曾舸，戴志辉，杨浩， 孙倩莱，张恒娇，邓志红,,Chinese,"No Treatment or Outcome, Can discard",Michael,Irra,12/21/19,2/13/20,54,Top-level,,Positive only,Active only,Both,Both,No,Both,All,Both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,0,China,Meta-study (might be possible to extract more data by looking at references in paper),"44,672",新型冠状病毒肺炎流行病学特征分析,中华流行病学杂志,中国疾病预防控制中心新冠状病毒肺炎应急响应机制流行病学组,http://html.rhhz.net/zhlxbx/004.htm,Chinese,EXCLUDE,EXCLUDE,Irra,12/31/19,2/11/20,42,Top-level,,Positive only,Active only,Both,Both,No,Both,All,Both,,50.92,,35,75,3.80%,51.40%,,85.20%,,,,,,,,,,,,26%,12.80%,5.30%,4.20%,2.40%,0.50%,,,,,,,,,,,,,,,,,,,,,,,80.90%,13.80%,4.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.30%,,,
53,0,China,Guangdong,188,Evidence and characteristics of human-to-human transmission of 2019-nCoV,MedRxiv,Kang et. al.,https://www.medrxiv.org/content/medrxiv/early/2020/02/06/2020.02.03.20019141.full.pdf,English,Patient level data in supplementary materials,Sam,,1/1/20,1/27/20,26,Top-level,All,Positive only,End-point and active,Both,Both,No,ΝΑ,All,NA,,48.8,,,,,49.50%,,75%,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.50%,12.20%,3.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,,,,,,,
54,0,China,Various,9,Novel Coronavirus Infection in Hospitalized Infants Under 1 Year of Age in China,JAMA,Wei et. al.,https://doi.org/10.1001/jama.2020.2131,English,"Only <1yr old, minimal data",Holly,,12/8/19,2/6/20,60,Top-level,All,Positive only,End-point and active,Survivors only,,No,Non-ICU only,Mild only,Non-ventilation only,0.58,0.56,,0.33,0.75,,22%,87.50%,,,,,,,,,,,,,,,,,,,,,,,,,44%,,,22%,,,11%,,,,,,,11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,,,,,,,
55,0,China,Wuhan,1,A new coronavirus associated with human respiratory disease in China,Nature,Fan et. al,https://www.nature.com/articles/s41586-020-2008-3?fbclid=IwAR10YjXQeW795Vke_56S0Qz-eZzCXSosAAYpF6vuWjWH8vnGIUKWJr1BkoI,English,One patient (see Table 1); only use if we get desperate,Holly,,12/26/19,1/7/20,12,Top-level,All,Positive only,Active only,Survivors only,Non-discharged only,Yes,ICU only,Severe/Critical Only,Ventilation only,41,41,,,,,100%,100%,100%,,,,,,6,,,,,,,,,,,,,,,,,,100%,,38.4,100%,100%,,100%,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,4.1,,,,,100%,100%,,,,,,,,100%,,,,,,,,,,,,,,,,,,100%,na,3,,,,,,
56,0,China,Wuhan,10,Dynamic profile of severe or critical COVID-19 cases,MedRxiv,Xu,https://www.medrxiv.org/content/10.1101/2020.03.18.20038513v1,English,Can split by survivors/non survivors,Agni,,1/1/20,2/11/20,41,Top-level,All,Positive only,End-point and active,Both,Both,Yes,ΝΑ,Severe/Critical Only,NA,,,,,,,60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,3.5,5.1,138,121,151,0,,,0.7,0.6,0.9,165,135,219,,,,2.8,24,26,,12.1,17,,,,100%,60%,60%,,50%,,,100%,,,,,,,,,,,,,,,,,,,,,60%,,,,20.00%,,,
56,1,China,Wuhan,8,Dynamic profile of severe or critical COVID-19 cases,MedRxiv,Xu,https://www.medrxiv.org/content/10.1101/2020.03.18.20038513v1,English,,Agni,,1/1/20,2/11/20,41,Subgroup,Survivors,Positive only,End-point and active,Survivors only,Both,Yes,ΝΑ,Severe/Critical Only,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,3.2,5,138,126,150,0,,,0.8,0.7,0.9,167,150,221,,,,2.6,21,23,,10.1,13,,,,100%,,75%,,37.50%,,,100%,,,,,,,,,,,,,,,,,,,,,75%,,,,0.00%,,,
56,2,China,Wuhan,2,Dynamic profile of severe or critical COVID-19 cases,MedRxiv,Xu,https://www.medrxiv.org/content/10.1101/2020.03.18.20038513v1,English,,Agni,,1/1/20,2/11/20,41,Subgroup,Non-survivors,Positive only,End-point only,Non-Survivors only,Non-discharged only,Yes,ΝΑ,Severe/Critical Only,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,3.5,5.7,137,128,146,0,,,0.7,0.6,0.8,170,121,219,,,,4.3,28,30,,25.5,21,,,,100%,,0%,,100%,,,100%,,,,,,,,,,,,,,,,,,,,,0%,,,,100.00%,,,
57,0,China,Guizhou,162,"Epidemiologic Characteristics of COVID-19 in Guizhou, China",MedRxiv,Ping et. al.,https://www.medrxiv.org/content/10.1101/2020.03.01.20028944v1.full.pdf,English,"No treatment or outcomes, and features very sparse. Recommend dropping",Ted,,1/21/20,2/16/20,26,Top-level,General,Positive only,End-point and active,Both,Both,No,ΝΑ,All,NA,37,,,,,,50.62%,91.35%,51.85%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,,,,,,,
58,0,China,Shanghai,148,Clinical Features of COVID-19-Related Liver Damage,Lancet,Fan et. al,https://www.medrxiv.org/content/10.1101/2020.02.26.20026971v2.full.pdf,English,Split by liver functions,Ted,,1/20/20,1/31/20,11,Top-level,General,Positive only,End-point and active,Both,Both,No,ΝΑ,All,NA,50.5,,,36,64,,49.30%,,,,,,,,,5,3,7,,,,,,,,,,,,,,,70.30%,,,45.30%,,,26.70%,,,,4.10%,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16%,39.20%,21%,,,,,,,,,,,,,,,,,44.60%,,,,,,,,,62.84%,,12,,0.68%,,,
58,1,China,Shanghai,75,Clinical Features of COVID-19-Related Liver Damage,Lancet,Fan et. al,https://www.medrxiv.org/content/10.1101/2020.02.26.20026971v2.full.pdf,English,,Ted,,1/20/20,1/31/20,11,Subgroup,Abnormal liver,Positive only,End-point and active,Both,Both,No,ΝΑ,All,NA,,,,,,,62.67%,,,,,,,,,,,,,,,,,,,,,,,,,,76%,,,46.67%,,,22.67%,,,,,,,,,,,,,4.99,,,,,,,,,0.925,0.635,1.734,,,,,,,,,,,,,,336,201,22.67%,45.33%,31.00%,,,,,,,,,,,,,,,,,,,,,,,,,,59%,,15.14,,,,,
58,2,China,Shanghai,73,Clinical Features of COVID-19-Related Liver Damage,Lancet,Fan et. al,https://www.medrxiv.org/content/10.1101/2020.02.26.20026971v2.full.pdf,English,,Ted,,1/20/20,1/31/20,11,Subgroup,Normal liver,Positive only,End-point and active,Both,Both,No,ΝΑ,All,NA,,,,,,,38.36%,,,,,,,,,,,,,,,,,,,,,,,,,,64%,,,43.84%,,,27.34%,,,,,,,,,,,,,4.3,,,,,,,,,1.32,1.734,1.57,,,,,,,,,,,,,,492,273,9.59%,32.88%,11%,,,,,,,,,,,,,,,,,,,,,,,,,,81%,,12.67,,,,,
